City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,32.56,97,67,2.3,NZ,1659112987
1,new norfolk,-42.7826,147.0587,42.3,84,99,2.57,AU,1659112820
2,barra do garcas,-15.89,-52.2567,90.18,29,0,11.5,BR,1659112987
3,hobart,-42.8794,147.3294,42.66,82,96,6.91,AU,1659112988
4,bako,5.7833,36.5667,67.59,70,90,3.0,ET,1659112988
5,tiksi,71.6872,128.8694,42.39,95,70,4.29,RU,1659112988
6,bedesa,8.9,40.7833,67.08,76,89,1.7,ET,1659112989
7,sao filipe,14.8961,-24.4956,78.31,77,51,13.13,CV,1659112989
8,tunceli,39.1083,39.5471,83.07,16,0,2.55,TR,1659112989
9,hermanus,-34.4187,19.2345,54.81,68,88,17.74,ZA,1659112989
10,atuona,-9.8,-139.0333,76.8,75,19,23.06,PF,1659112990
11,cao bang,22.6667,106.25,75.0,88,91,0.56,VN,1659112966
12,nantucket,41.2835,-70.0995,89.71,55,0,11.5,US,1659112923
13,rikitea,-23.1203,-134.9692,72.55,74,5,18.52,PF,1659112990
14,saint-philippe,-21.3585,55.7679,71.19,76,36,11.18,RE,1659112991
15,tekkali,18.6167,84.2333,82.51,80,39,5.03,IN,1659112991
16,ushuaia,-54.8,-68.3,38.86,75,20,6.91,AR,1659112743
17,barrow,71.2906,-156.7887,35.15,87,100,6.29,US,1659112991
18,ulladulla,-35.35,150.4667,42.53,73,1,6.93,AU,1659112992
19,avarua,-21.2078,-159.775,73.45,83,75,9.22,CK,1659112992
20,kaitangata,-46.2817,169.8464,35.71,90,24,6.73,NZ,1659112992
21,kapaa,22.0752,-159.319,75.52,90,75,8.05,US,1659112993
22,tuktoyaktuk,69.4541,-133.0374,42.8,87,100,23.02,CA,1659112993
23,wageningen,51.9667,5.6667,79.86,49,100,5.75,NL,1659112993
24,nikolskoye,59.7035,30.7861,65.88,79,98,8.01,RU,1659112993
25,punta arenas,-53.15,-70.9167,42.82,81,0,29.93,CL,1659112994
26,ilhabela,-23.7781,-45.3581,67.86,88,95,11.56,BR,1659112994
27,eyl,7.9803,49.8164,76.93,81,28,24.4,SO,1659112994
28,vaini,-21.2,-175.2,73.56,94,20,9.22,TO,1659112995
29,chuy,-33.6971,-53.4616,53.82,66,82,10.36,UY,1659112995
30,baherden,38.4362,57.4316,89.56,50,29,9.98,TM,1659112995
31,las tunas,20.9617,-76.9511,90.14,46,53,13.15,CU,1659112996
32,kavaratti,10.5669,72.642,81.43,84,27,18.05,IN,1659112996
33,salalah,17.0151,54.0924,78.89,83,75,5.75,OM,1659112996
34,bredasdorp,-34.5322,20.0403,50.85,72,100,11.27,ZA,1659112997
35,marrakesh,31.6315,-8.0083,98.67,26,20,6.91,MA,1659112934
36,rovinj,45.08,13.64,86.49,55,22,6.91,HR,1659112997
37,ponta do sol,32.6667,-17.1,76.12,64,0,3.6,PT,1659112997
38,gaoual,11.75,-13.2,81.27,83,100,6.04,GN,1659112998
39,severo-kurilsk,50.6789,156.125,53.02,96,100,8.86,RU,1659112937
40,katherine,-14.4667,132.2667,64.72,55,71,3.44,AU,1659112998
41,flinders,-34.5833,150.8552,42.39,73,6,10.31,AU,1659112999
42,puri,19.8,85.85,84.72,76,93,14.27,IN,1659112999
43,cape town,-33.9258,18.4232,57.61,73,75,10.36,ZA,1659112999
44,sitka,57.0531,-135.33,57.09,94,100,6.91,US,1659112999
45,teya,60.3778,92.6267,62.65,97,96,3.09,RU,1659113000
46,faanui,-16.4833,-151.75,78.94,71,20,23.89,PF,1659113000
47,chokurdakh,70.6333,147.9167,50.0,89,100,7.56,RU,1659113000
48,port blair,11.6667,92.75,80.64,89,40,0.0,IN,1659113001
49,yellowknife,62.456,-114.3525,64.92,45,40,8.05,CA,1659112981
50,albany,42.6001,-73.9662,86.58,41,52,1.01,US,1659112968
51,hilo,19.7297,-155.09,77.29,71,0,8.99,US,1659112740
52,schoten,51.2525,4.5027,81.99,46,0,8.05,BE,1659113001
53,turukhansk,65.8167,87.9833,63.59,70,100,9.62,RU,1659113001
54,geraldton,-28.7667,114.6,61.21,63,100,11.5,AU,1659112731
55,lebu,-37.6167,-73.65,50.88,77,0,22.91,CL,1659112868
56,comodoro rivadavia,-45.8667,-67.5,55.26,44,75,28.77,AR,1659113002
57,grindavik,63.8424,-22.4338,55.35,62,75,23.02,IS,1659112841
58,ayan,56.45,138.1667,58.64,92,100,13.18,RU,1659113002
59,catalao,-18.1658,-47.9464,83.91,18,6,10.36,BR,1659113003
60,ndola,-12.9587,28.6366,63.25,39,33,3.22,ZM,1659113003
61,canico,32.6333,-16.85,76.12,64,75,12.66,PT,1659113003
62,yulara,-25.2406,130.9889,52.2,32,99,7.56,AU,1659113003
63,norman wells,65.282,-126.8329,55.44,82,75,6.91,CA,1659113004
64,inyonga,-6.7167,32.0667,75.9,36,83,4.7,TZ,1659112991
65,zacatecoluca,13.5,-88.8667,86.23,62,21,1.48,SV,1659113004
66,kruisfontein,-34.0033,24.7314,56.64,75,41,20.56,ZA,1659113004
67,upernavik,72.7868,-56.1549,42.51,75,100,8.01,GL,1659113005
68,rawson,-43.3002,-65.1023,56.91,38,97,20.6,AR,1659113005
69,mahebourg,-20.4081,57.7,70.09,73,75,16.11,MU,1659113005
70,esna,25.2934,32.554,100.42,12,61,11.99,EG,1659113006
71,ostrovnoy,68.0531,39.5131,48.27,87,100,17.54,RU,1659113006
72,ancud,-41.8697,-73.8203,49.23,69,70,3.58,CL,1659112737
73,adelaide,-34.9333,138.6,54.32,69,0,10.36,AU,1659113006
74,tura,25.5198,90.2201,74.57,94,85,3.15,IN,1659113007
75,muros,42.7762,-9.0603,81.68,60,9,15.28,ES,1659113007
76,nanortalik,60.1432,-45.2371,48.09,77,13,13.71,GL,1659113007
77,kuah,6.3265,99.8432,82.38,83,20,2.3,MY,1659113008
78,whitehorse,60.7161,-135.0538,59.81,81,75,1.01,CA,1659113008
79,sao joao da barra,-21.6403,-41.0511,86.09,47,22,4.65,BR,1659113008
80,souillac,-20.5167,57.5167,70.18,73,75,16.11,MU,1659113008
81,pindiga,9.9833,10.9333,72.16,84,100,7.61,NG,1659113009
82,kodiak,57.79,-152.4072,54.91,76,0,0.0,US,1659113009
83,vao,-22.6667,167.4833,70.63,82,100,11.1,NC,1659112715
84,arraial do cabo,-22.9661,-42.0278,91.36,39,0,17.27,BR,1659113009
85,zhicheng,30.2956,111.5047,77.18,83,0,3.69,CN,1659113010
86,east london,-33.0153,27.9116,59.94,77,0,6.91,ZA,1659113010
87,bengkulu,-3.8004,102.2655,74.98,86,98,4.79,ID,1659113010
88,talnakh,69.4865,88.3972,65.16,73,0,4.61,RU,1659113011
89,najran,17.4924,44.1277,93.85,20,86,9.71,SA,1659113011
90,saskylakh,71.9167,114.0833,59.88,78,100,3.42,RU,1659113011
91,soyo,-6.1349,12.3689,72.7,77,26,9.37,AO,1659113011
92,kokopo,-4.352,152.2633,77.49,78,67,2.35,PG,1659113012
93,fortuna,40.5982,-124.1573,63.93,87,100,1.01,US,1659113012
94,touros,-5.1989,-35.4608,82.78,68,89,14.94,BR,1659113012
95,wellsford,-36.2833,174.5167,47.17,96,93,2.68,NZ,1659113013
96,jamestown,42.097,-79.2353,76.51,45,40,12.66,US,1659113013
97,busselton,-33.65,115.3333,53.01,63,95,23.82,AU,1659112921
98,male,4.1748,73.5089,81.93,79,86,14.29,MV,1659112872
